issn	title	articles	links	coverage
1175-5326	Zootaxa	8581	8189	95
0374-5481	The Annals and magazine of natural history	4463	3502	78
1000-0739	880-01 Dong wu fen lei xue bao. Acta zootaxonomica Sinica	3403	2450	72
0006-324X	Proceedings of the Biological Society of Washington	3384	3263	96
0022-3360	Journal of paleontology	3373	3121	93
0037-928X	Bulletin de la Société entomologique de France	3012	244	8
0013-8797	Proceedings of the Entomological Society of Washington	2972	2805	94
0044-5134	Zoologicheskiĭ zhurnal	2812	16	1
0044-5231	Zoologischer Anzeiger	2761	594	22
0022-3395	The Journal of parasitology	2353	2222	94
0008-347X	The Canadian entomologist	2260	2059	91
0003-0082	American Museum novitates	1942	1814	93
0035-418X	Revue suisse de zoologie	1851	1581	85
0022-2933	Journal of natural history	1848	1823	99
0367-1445	Entomologicheskoe obozrenie	1803	3	0
0096-3801	Proceedings of the United States National Museum	1722	1365	79
0013-872X	Entomological news	1691	1619	96
0370-2774	Proceedings of the Zoological Society of London	1580	1008	64
1000-7482	880-01 Kun chong fen lei xue bao = Entomotaxonomia	1518	1127	74
0037-9271	Annales de la Société entomologique de France	1497	757	51
0031-031X	880-01 Paleontologicheskiĭ zhurnal	1472	31	2
0013-8746	Annals of the Entomological Society of America	1441	1383	96
0035-1814	Revue de zoologie et de botanique africaines	1400	47	3
0031-0603	The Pan-Pacific entomologist	1389	56	4
0323-6145	Berliner entomologische Zeitschrift / herausgegeben von dem Entomologischen Vereine in Berlin	1342	710	53
1148-8425	Bulletin du Muséum National d'Histoire Naturelle réunion mensuelle des naturalistes du Muséum	1303	506	39
0013-8908	The Entomologist's monthly magazine	1268	6	0
0044-586X	Acarologia	1226	87	7
0045-8511	Copeia	1191	1095	92
0031-0239	Palaeontology	1185	1154	97
0001-6616	880-03 Gu sheng wu xue bao = Acta palaeontologica Sinica	1127	0	0
0165-5752	Systematic parasitology	1082	1028	95
0454-6296	880-01 Kun chong xue bao = Acta entomologica Sinica / Zhongguo kun chong xue hui bian ji	1054	902	86
0024-0672	Zoologische mededeelingen / uitgegeven vanwege 's Rijksmuseum van Natuurlijke Historie te Leiden	1039	997	96
0370-047X	Proceedings of the Linnean Society of New South Wales	1038	742	71
0030-5316	Oriental insects	1035	916	89
0028-7199	Journal of the New York Entomological Society	1013	860	85
0521-4726	Annales historico-naturales Musei Nationalis Hungarici = Természettudományi Múzeum évkönyve	1007	886	88
0070-7279	Reichenbachia / Staatliches Museum für Tierkunde in Dresden	951	2	0
0022-8567	Journal of the Kansas Entomological Society	945	906	96
0373-3491	Bollettino della Società entomologica italiana	940	14	1
0037-2102	Senckenbergiana biologica	939	11	1
0002-8320	Transactions of the American Entomological Society	923	796	86
0374-9797	Nouvelle revue d'entomologie	923	1	0
0774-2819	Lambillionea	918	0	0
0034-7108	Revista Brasileira de biologia	916	6	1
0007-1595	Bulletin of the British Ornithologists' Club	911	459	50
0013-8843	Entomologische Zeitschrift	881	4	0
0253-116X	Linzer biologische Beiträge / Oberösterreiches Landesmuseum	876	503	57
0272-4634	Journal of vertebrate paleontology	869	864	99
1217-8837	Acta zoologica Academiae Scientiarum Hungaricae	868	134	15
0011-216X	Crustaceana	865	865	100
0085-5626	Revista brasileira de entomologia	863	260	30
0365-4389	Annali del Museo civico di storia naturale "Giacomo Doria."	855	503	59
0097-3157	Proceedings of the Academy of Natural Sciences of Philadelphia	848	500	59
0010-065X	The Coleopterists' bulletin	831	804	97
1313-2989	ZooKeys	827	827	100
0024-4082	Zoological journal of the Linnean Society	823	821	100
0008-4301	Canadian journal of zoology	817	803	98
0028-1344	The Nautilus	814	501	62
0040-7496	Tijdschrift voor entomologie	804	580	72
0375-0434	Proceedings of the Royal Entomological Society of London. Series B, Taxonomy	796	783	98
0033-2615	Psyche	796	709	89
0164-7954	International journal of acarology	787	786	100
0003-0090	Bulletin of the American Museum of Natural History	776	488	63
0037-962X	Bulletin de la Société zoologique de France	765	228	30
0181-0863	Revue française d'entomologie	765	6	1
1562-0891	Wiener Entomologische Zeitung	752	573	76
1000-3118	880-01 Gu ji zhui dong wu xue bao	743	4	1
0003-0023	Transactions of the American Microscopical Society	731	728	100
0075-6547	Koleopterologische Rundschau / herausgegeben von der Zoologisch-Botanischen Gesellschaft gemeinsam mit der Forstlichen Bundesversuchsanstalt	706	339	48
0286-9810	880-01 The entomological review of Japan = Konchūgaku hyōron	704	98	14
0867-1710	Genus	690	2	0
0042-3580	Venus : Japanese journal of malacology = Kairuigaku zasshi	687	531	77
0067-1975	Records of the Australian Museum	679	629	93
0006-6982	The Journal of the Bombay Natural History Society	677	81	12
0320-9180	Zoosystematica rossica	676	6	1
0084-5604	Vestnik zoologii / Akademii︠a︡ nauk Ukrainskoĭ SSR, Institut zoologii	672	37	6
0387-5733	Elytra	666	108	16
0043-0439	Journal of the Washington Academy of Sciences	664	603	91
0003-4541	Annales zoologici / Polska Akademia Nauk, Instytut Zoologiczny	661	336	51
0016-6995	Geobios	659	475	72
0004-2110	Arkiv för zoologi / utgivet af K. Svenska vetenskaps-akademien	658	59	9
0035-8894	Transactions of the Royal Entomological Society of London	655	495	76
0915-5805	Japanese journal of entomology	645	620	96
0013-8878	The Entomologist	645	14	2
0031-1820	Parasitology	641	614	96
0007-4853	Bulletin of entomological research	633	611	97
0375-099X	Records of the Indian Museum a journal of Indian zoology ed. by the Director, Zoological Survey of India	630	213	34
1326-6756	Australian journal of entomology	629	629	100
0018-8158	Hydrobiologia	627	627	100
0013-8770	880-02 Konchū = Kontyū	625	616	99
0217-2445	The Raffles bulletin of zoology	622	571	92
0372-1426	Transactions of the Royal Society of South Australia, Incorporated	622	450	72
0079-8835	Memoirs of the Queensland Museum	620	373	60
0003-4150	Annales de parasitologie humaine et comparée	612	355	58
0018-0130	Proceedings of the Helminthological Society of Washington	604	588	97
0015-4040	The Florida entomologist	602	601	100
0077-7749	Neues Jahrbuch für Geologie und Paläontologie. Abhandlungen	602	146	24
1066-5234		601	572	95
0031-0220	Paläontologische Zeitschrift	601	58	10
0567-7920	Acta palaeontologica Polonica	599	578	96
0032-3780	Polskie pismo entomologiczne. Bulletin entomologique de Pologne	590	28	5
0027-4100	Bulletin of the Museum of Comparative Zoology at Harvard College	581	444	76
0042-3211	The Veliger	578	274	47
0181-0626	Bulletin du Muséum national d'histoire naturelle. Section A, Zoologie, biologie et écologie animales	574	564	98
0068-547X	Proceedings of the California Academy of Sciences	573	261	46
0035-6387	Rivista di parassitologia	566	2	0
0003-5092	Annotationes zoologicae Japonenses / auspiciis Societatis Zoologicae Tokyonensis seriatim editae = Nihon dōbutsugaku ihō	562	545	97
0036-7575	Mitteilungen der Schweizerischen entomologischen Gesellschaft = Bulletin de la Société entomologique suisse	562	3	1
0251-074X	Revue de zoologie africaine	560	18	3
0373-9465	Folia entomologica Hungarica = Rovartani közlemények	555	6	1
0206-0477	880-01 Trudy Zoologicheskogo instituta = Travaux de l'Institut zoologique de l'Académie des sciences de l'URSS / Akademii︠a︡ nauk Soi︠u︡za Sovetskikh Sot︠s︡ialisticheskikh Respublik	554	2	0
1445-5226	Invertebrate systematics	550	550	100
0026-2803	Micropaleontology	548	409	75
0307-6970	Systematic entomology	537	526	98
0020-1804	Insecta matsumurana	536	514	96
0278-0372	Journal of crustacean biology : a quarterly of the Crustacean Society for the publication of research on any aspect of the biology of crustacea	531	531	100
0165-0424	Aquatic insects	525	525	100
1051-8932		523	3	1
0013-8711	Entomologica scandinavica	522	513	98
0341-8391	Spixiana	515	465	90
0013-8789	Journal of the Entomological Society of Southern Africa	515	392	76
0018-0831	Herpetologica	514	472	92
0323-7087	Zoologische Jahrbücher. Abteilung für Systematik, Geographie und Biologie der Tiere	513	176	34
0007-4977	Bulletin of marine science	510	397	78
0250-4413	Entomofauna	500	387	77
0300-3256	Zoologica scripta	498	493	99
0936-9902	Ichthyological exploration of freshwaters	498	5	1
0031-1847	Parazitologii︠a︡	498	0	0
0030-8714	Pacific insects	496	424	85
0132-8069	Russian entomological journal = Russkiĭ ėntomologicheskiĭ zhurnal	489	8	2
0028-2596	Nematologica	487	478	98
0065-1583	Acta protozoologica	486	0	0
0101-8175	Revista brasileira de zoologia	485	404	83
0074-0276	Memórias do Instituto Oswaldo Cruz	479	407	85
0015-5683	Folia parasitologica	478	310	65
0253-2484	Entomologica Basiliensia / Naturhistorisches Museum Basel, Entomologische Abteilung	477	3	1
0031-7683	The Philippine journal of science	474	23	5
0037-2110	Senckenbergiana lethaea	472	98	21
0097-4463	Annals of the Carnegie Museum	466	119	26
0303-2515	Annals of the South African Museum = Annale van die Suid-Afrikaanse Museum	463	421	91
0493-3168	Tinea	461	95	21
0025-3154	Journal of the Marine Biological Association of the United Kingdom	456	456	100
0024-0974	Chō to ga. Tyo to ga	454	451	99
1341-1160	880-01 Japanese journal of systematic entomology = Nihon Konchū Bunrui Gakkai kaihō	454	1	0
0019-5227	Indian journal of helminthology / [Helminthological Society of India]	453	0	0
0950-7655	Novitates zoologicae	450	351	78
0385-2423	Bulletin of the National Science Museum. Series A, Zoology	447	438	98
0312-3162	Records of the Western Australian Museum	443	410	93
0373-8493	Mitteilungen aus dem Zoologischen Museum in Berlin	440	246	56
0013-9440	EOS	438	0	0
0429-288X	Fragmenta entomologica	435	381	88
0001-4036	Comptes rendus hebdomadaires des séances de l'Académie des sciences	431	81	19
0304-0798	Annals of the Natal Museum	430	419	97
1280-9551	Zoosystema	428	337	79
0022-2585	Journal of medical entomology	426	426	100
0373-5680	Revista de la Sociedad Entomológica Argentina	420	29	7
1869-0963	Archiv für Molluskenkunde	418	62	15
0374-1036	Acta Entomologica Musei Nationalis Pragae	417	30	7
0375-0442	Palaeontographica. Abt. A, Paläozoologie--Stratigraphie	411	1	0
0081-0282	Smithsonian contributions to zoology	401	382	95
0002-7014	Ameghiniana	398	1	0
0084-5647	Verhandlungen der Zoologisch-Botanischen Gesellschaft in Wien	395	26	7
0021-7719	Journal de conchyliologie	394	3	1
0083-6133	Annalen des Naturhistorischen Museums in Wien	393	320	81
0049-1128	Bulletin & [i.e. et] annales de la Société royale d'entomologie de Belgique	391	31	8
0013-8835	Entomologische Blätter für Biologie und Systematik der Käfer	381	1	0
0038-3872	Bulletin / Southern California Academy of Sciences	380	364	96
0375-5223	Zeitschrift der Arbeitsgemeinschaft Österreichischer Entomologen	375	357	95
0749-6737	Insecta mundi	372	307	83
0044-3255	Zeitschrift für Parasitenkunde	370	356	96
